type,ip_addr,country_code,classification,blacklist
ip,162.216.149.43,US,malicious,Malicious Host|HoneyDB|2023-04-23 00:00:00|2023-11-05 00:00:00;Malicious Host|CIArmy|2023-04-20 08:28:21|2024-04-16 12:16:19
ip,62.210.97.106,FR,malicious,Mail Spammer|Abuseat.org|2024-01-25 09:23:03|2024-01-25 09:23:03;ET CINS Active Threat Intelligence Poor Reputation IP TCP|Emerging Threats|2024-01-25 15:23:53|2024-01-28 14:46:34;ET CINS Active Threat Intelligence Poor Reputation IP UDP|Emerging Threats|2024-01-25 15:24:03|2024-01-28 14:46:43;Malicious Host|CIArmy|2024-01-25 09:23:03|2024-04-16 11:50:48
ip,206.168.34.175,US,suspicious,Mail Spammer|Abuseat.org|2024-03-29 12:42:45|2024-03-29 12:42:45;Malicious Host|HoneyDB|2024-03-31 00:00:00|2024-03-31 00:00:00;Malicious Host|CIArmy|2024-03-29 12:42:44|2024-04-16 12:34:04
ip,177.131.28.60,BR,malicious,Brute force passwords using SSH on server S11|Blocklist.net.ua|2023-08-07 06:46:45|2023-09-05 06:08:09;Brute force passwords using SSH on server S5|Blocklist.net.ua|2023-07-29 07:07:26|2023-07-29 07:07:26;Brute force passwords using SSH on server S25|Blocklist.net.ua|2023-07-23 07:00:08|2023-07-23 07:00:08;Brute force passwords using SSH on server S6|Blocklist.net.ua|2023-07-15 06:47:13|2023-07-15 06:47:13;Mail Spammer|Abuseat.org|2023-06-28 08:57:00|2023-06-28 08:57:00;Brute force passwords using SSH on server RELAY|Blocklist.net.ua|2023-10-03 06:31:35|2023-10-03 06:31:35;Brute force passwords using SSH on server PS2|Blocklist.net.ua|2023-10-13 06:39:04|2023-10-13 06:39:04;Brute force passwords using SSH on server RS1|Blocklist.net.ua|2023-10-22 06:24:20|2023-10-22 06:24:20;Brute force passwords using SSH on server RS2|Blocklist.net.ua|2023-10-16 06:22:12|2023-11-12 06:39:36;Brute force passwords using SSH on server S24|Blocklist.net.ua|2023-12-05 06:43:21|2023-12-05 06:43:21;Brute force passwords using SSH on server S15|Blocklist.net.ua|2023-08-06 06:36:15|2023-12-09 07:04:15;SSH Attacker|Blocklist.de|2023-07-28 04:19:53|2024-01-05 03:21:34;Malicious Host|HoneyDB|2023-07-05 00:00:00|2024-02-02 00:00:00;Brute force passwords using SSH on server S16|Blocklist.net.ua|2024-02-08 06:44:00|2024-02-08 06:44:00;Brute force passwords using SSH on server PS4|Blocklist.net.ua|2024-01-29 07:23:46|2024-03-09 07:18:37;Brute force passwords using SSH on server S21|Blocklist.net.ua|2023-09-08 06:11:31|2024-03-29 09:33:12;Malicious Host|CIArmy|2023-06-28 08:56:59|2024-04-16 12:22:56
ip,206.168.34.140,US,suspicious,Mail Spammer|Abuseat.org|2024-03-29 12:42:36|2024-03-29 12:42:36;Malicious Host|CIArmy|2024-03-29 12:42:35|2024-04-16 12:33:55
ip,23.94.247.45,US,malicious,Mail Spammer|Abuseat.org|2024-04-11 11:52:38|2024-04-11 11:52:38;ET CINS Active Threat Intelligence Poor Reputation IP TCP|Emerging Threats|2024-04-13 19:25:09|2024-04-14 18:49:35;ET CINS Active Threat Intelligence Poor Reputation IP UDP|Emerging Threats|2024-04-13 19:25:21|2024-04-14 18:49:47;Malicious Host|CIArmy|2024-04-11 11:52:36|2024-04-16 11:37:57
ip,162.216.150.14,US,malicious,Malicious Host|HoneyDB|2023-05-07 00:00:00|2024-03-27 00:00:00;Malicious Host|CIArmy|2023-04-20 08:28:32|2024-04-16 12:16:42
ip,162.142.125.83,US,suspicious,Malicious Host|Alienvault Ip Reputation Database|2020-10-17 06:37:11|2020-12-15 06:31:49;Unauthorized scanning of hosts|Blocklist.net.ua|2020-10-17 01:39:44|2023-07-17 06:37:13;Malicious Host|HoneyDB|2023-10-01 00:00:00|2024-04-11 00:00:00;Malicious Host|CIArmy|2020-10-17 03:09:26|2024-04-16 12:15:34
ip,103.56.61.144,CN,malicious,Brute force passwords using FTP on server S20|Blocklist.net.ua|2023-08-23 05:21:49|2023-08-23 05:21:49;Brute force passwords using FTP on server S25|Blocklist.net.ua|2023-07-10 05:55:24|2023-07-10 05:55:24;Unauthorized scanning of hosts|Blocklist.net.ua|2022-09-13 02:57:50|2022-09-13 02:57:50;SSH Attacker|Maltiverse|2022-08-19 01:06:55|2022-08-19 01:06:55;Malicious Host|Maltiverse|2022-08-19 01:00:37|2023-03-10 07:20:27;Hacking|Maltiverse|2022-08-19 01:00:37|2023-03-10 08:31:15;Bruteforce|Maltiverse|2022-08-18 08:05:09|2023-03-09 20:24:57;Port Scanner|Maltiverse|2022-08-18 08:05:09|2023-03-10 09:02:26;ET CINS Active Threat Intelligence Poor Reputation IP TCP|Emerging Threats|2022-08-31 02:32:14|2024-03-03 14:09:44;ET CINS Active Threat Intelligence Poor Reputation IP UDP|Emerging Threats|2022-08-31 02:32:16|2024-03-03 14:09:52;Brute force passwords using FTP on server S10|Blocklist.net.ua|2024-03-21 07:52:59|2024-03-21 07:52:59;Brute force passwords using FTP on server S26|Blocklist.net.ua|2023-04-26 04:21:09|2024-03-25 07:44:17;SSH Attacker|Blocklist.de|2023-03-18 05:43:50|2024-04-11 04:03:24;Malicious Host|HoneyDB|2023-03-12 00:00:00|2024-04-11 00:00:00;FTP Attacker|Blocklist.de|2024-01-26 02:39:25|2024-04-16 02:43:45;Malicious Host|CIArmy|2022-08-23 02:10:23|2024-04-16 11:57:57
ip,162.216.150.24,US,malicious,Malicious Host|HoneyDB|2023-04-22 00:00:00|2024-02-01 00:00:00;Malicious Host|CIArmy|2023-04-20 08:28:43|2024-04-16 12:17:06
