type,ip_addr,country_code,classification,blacklist
ip,35.234.160.141,NL,malicious,Malicious Host|CIArmy|2024-05-01 11:14:06|2024-05-01 11:14:06
ip,162.142.125.238,US,suspicious,Malicious Host|HoneyDB|2023-01-03 00:00:00|2023-04-04 00:00:00;Unauthorized scanning of hosts|Blocklist.net.ua|2022-07-20 03:18:49|2023-07-17 06:37:38;Malicious Host|CIArmy|2022-02-17 01:46:53|2024-05-01 11:47:03
ip,185.242.226.2,NL,malicious,Mail Spammer|Abuseat.org|2024-02-16 09:57:51|2024-02-16 09:57:51;Malicious Host|CIArmy|2024-02-16 09:57:51|2024-05-01 11:57:43
ip,167.94.138.152,US,suspicious,Unauthorized scanning of hosts|Blocklist.net.ua|2022-09-13 03:32:37|2023-09-03 05:57:09;Malicious Host|HoneyDB|2024-03-27 00:00:00|2024-04-29 00:00:00;Malicious Host|CIArmy|2022-04-27 03:53:58|2024-05-01 11:51:55
ip,193.163.125.27,GB,suspicious,Unauthorized scanning of hosts|Blocklist.net.ua|2022-09-13 03:51:37|2022-09-13 03:51:37;Malicious Host|CIArmy|2021-07-04 02:52:44|2023-02-02 05:15:13
ip,167.94.146.25,US,suspicious,HTTP Attacker|Blocklist.de|2021-11-23 00:23:26|2021-12-03 04:40:17;Unauthorized scanning of hosts|Blocklist.net.ua|2022-09-13 03:32:39|2023-09-03 05:57:10;Malicious Host|CIArmy|2021-11-16 05:40:23|2024-05-01 11:52:11
ip,185.242.226.49,NL,malicious,Mail Spammer|Abuseat.org|2024-02-16 09:57:58|2024-02-16 09:57:58;Malicious Host|CIArmy|2024-02-16 09:57:57|2024-05-01 11:57:49
ip,206.168.34.148,US,suspicious,Mail Spammer|Abuseat.org|2024-03-29 12:42:39|2024-03-29 12:42:39;Malicious Host|CIArmy|2024-03-29 12:42:37|2024-05-01 12:05:47
ip,198.235.24.164,CA,malicious,Bruteforce login attacker|Blocklist.de|2022-08-23 01:55:50|2022-08-24 01:56:16;HTTP Attacker|Blocklist.de|2022-08-23 01:49:09|2022-08-24 01:49:20;HTTP Scrapper|Maltiverse|2022-08-22 19:27:52|2022-08-22 19:27:52;HTTP Attacker|Maltiverse|2022-08-22 19:27:52|2022-08-23 00:29:12;SIP Attacker|Maltiverse|2022-08-21 15:35:41|2022-08-21 15:35:41;SSH Attacker|Maltiverse|2022-08-21 04:51:21|2022-08-22 23:31:34;Malicious Host|Maltiverse|2022-08-19 19:31:38|2022-08-20 15:11:10;Bruteforce|Maltiverse|2022-08-19 00:54:48|2022-08-21 04:51:21;Hacking|Maltiverse|2022-08-19 00:04:33|2022-08-23 01:37:23;Port Scanner|Maltiverse|2022-08-19 00:02:33|2022-08-23 01:37:23;Unauthorized scanning of hosts|Blocklist.net.ua|2022-09-13 03:55:50|2023-01-04 05:46:59;Mail Spammer|Abuseat.org|2022-12-28 05:35:25|2022-12-28 18:00:13;SSH Attacker|Blocklist.de|2023-09-22 03:47:03|2024-02-18 03:22:17;IMAP Attacker|Blocklist.de|2024-03-11 02:35:32|2024-03-13 02:44:17;Mail Spammer|Blocklist.de|2024-03-11 02:49:47|2024-03-13 03:00:06;Malicious Host|HoneyDB|2022-12-19 00:00:00|2024-04-11 00:00:00
ip,162.142.125.87,US,suspicious,Malicious Host|Alienvault Ip Reputation Database|2020-10-18 00:11:50|2020-12-15 06:32:05;Unauthorized scanning of hosts|Blocklist.net.ua|2020-10-17 01:39:44|2023-07-17 06:37:13;Malicious Host|HoneyDB|2023-10-01 00:00:00|2024-04-11 00:00:00;Malicious Host|CIArmy|2020-10-17 03:09:26|2024-05-01 11:47:08
